,weight,BNPL1,BNPL3,BNPL4_a,BNPL4_b,BNPL4_c,BNPL4_d,BNPL4_e,BNPL4_f,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,I20,ppfs0596,ppeducat,ppage,ppagecat,ppethm,ppgender,ppinc7,ppemploy,ppmarit5,pphhsize,ppkid017,ppfs1482,SL6,B3,A6,C4A,EF1,L0C,I41_c,I41_e,A1_a,A1_b,A1_c,X12_a,X12_b,X12_c,X12_d,X12_e,X12_f,X12_g,EF5C,year
11414,0.6978,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,57,55-64,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Divorced,3,0,,,Somewhat worse off,Very confident,Never carried an unpaid balance (always pay in full),No,,No,,No,No,No,,,,,,,,Yes,2024
11415,1.2234,No,,,,,,,,Yes,Yes,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,47,45-54,Hispanic,Female,"$150,000 or more",Working part-time,Now married,4,2,,,Somewhat worse off,Very confident,Once,Yes,2,No,No,No,No,No,,,,,,,,Yes,2024
11416,0.9702,No,,,,,,,,No,Yes,No,No,Yes,No,No,No,Less than your income,,No high school diploma or GED,55,55-64,"White, Non-Hispanic",Female,"$10,000 to $24,999",Not working,Widowed,2,0,,,Much worse off,Not confident,Most or all of the time,No,,No,,,,,,,,,,,,No,2024
11417,2.2235,No,,,,,,,,No,No,No,No,No,Yes,Yes,No,The same as your income,,No high school diploma or GED,42,35-44,Hispanic,Male,"$25,000 to $49,999",Working full-time,Now married,8,4,,,Somewhat worse off,Somewhat confident,Some of the time,No,3,Yes,No,,,,,,,,,,,No,2024
11418,1.1986,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,More than your income,,Bachelor's degree or higher,29,25-34,"White, Non-Hispanic",Female,"$100,000 to $149,999",Working part-time,Never married,4,0,,,Somewhat worse off,Very confident,Some of the time,No,,No,,,,,,,,,,,,Yes,2024
11419,0.7275,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,70,65-74,"White, Non-Hispanic",Female,"$75,000 to $99,999",Not working,Now married,2,0,,,Somewhat worse off,Very confident,Never carried an unpaid balance (always pay in full),No,,No,,No,No,No,Not a concern,Major concern,Not a concern,Minor concern,Minor concern,Not a concern,Not a concern,Yes,2024
11420,0.3866,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Some college or Associate's degree,21,18-24,"2+ Races, Non-Hispanic",Female,"$25,000 to $49,999",Working part-time,Never married,4,0,,,Somewhat better off,Somewhat confident,Never carried an unpaid balance (always pay in full),Yes,,No,,No,No,No,Minor concern,Minor concern,Minor concern,Minor concern,Not a concern,Not a concern,Minor concern,Yes,2024
11421,0.5601,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,70,65-74,"White, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Now married,4,0,,,Somewhat worse off,Very confident,Most or all of the time,No,,No,,No,No,No,,,,,,,,Yes,2024
11422,1.4744,No,,,,,,,,No,Yes,No,No,No,No,No,No,More than your income,,Some college or Associate's degree,53,45-54,"Black, Non-Hispanic",Female,"$150,000 or more",Working full-time,Now married,2,0,,,Somewhat worse off,Not confident,Most or all of the time,No,,No,,No,Yes,Yes,,,,,,,,Yes,2024
11423,2.5881,No,,,,,,,,No,Yes,No,No,Yes,No,No,No,More than your income,,High school graduate (high school diploma or the equivalent GED),32,25-34,Hispanic,Male,"$100,000 to $149,999",Not working,Never married,4,0,,,About the same,Very confident,Most or all of the time,No,,No,,No,No,No,Minor concern,Major concern,Not a concern,Minor concern,Minor concern,Minor concern,Not a concern,Yes,2024
11424,1.7128,No,,,,,,,,No,No,No,No,No,No,No,Yes,More than your income,,No high school diploma or GED,46,45-54,Hispanic,Male,"$25,000 to $49,999",Not working,Divorced,1,0,,,About the same,Very confident,,No,,No,,,,,Minor concern,Major concern,Major concern,Major concern,Major concern,Minor concern,Not a concern,No,2024
11425,1.1706,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,28,25-34,"White, Non-Hispanic",Female,"$100,000 to $149,999",Working full-time,Now married,2,0,Excellent,,Much better off,Very confident,Some of the time,No,1,No,No,,,,,,,,,,,Yes,2024
11426,0.2214,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,60,55-64,"2+ Races, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,2,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,,,,Not a concern,Minor concern,Not a concern,Not a concern,Not a concern,Not a concern,Not a concern,Yes,2024
11427,1.4533,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,The same as your income,,No high school diploma or GED,39,35-44,"White, Non-Hispanic",Male,"$25,000 to $49,999",Working full-time,Now married,5,1,,,Much worse off,Not confident,,No,1,No,No,Yes,No,No,,,,,,,,Yes,2024
11428,1.9102,No,,,,,,,,No,No,No,No,Yes,No,No,No,The same as your income,,Some college or Associate's degree,26,25-34,"Other, Non-Hispanic",Female,"$25,000 to $49,999",Working part-time,Never married,2,0,,,Somewhat better off,Not confident,Some of the time,No,1,No,Yes,Yes,Yes,Yes,Not a concern,Major concern,Minor concern,Major concern,Major concern,Not a concern,Minor concern,Yes,2024
11429,1.3974,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,Some college or Associate's degree,23,18-24,"White, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Never married,3,0,,,About the same,Somewhat confident,,No,,No,,,,,Not a concern,Minor concern,Not a concern,Not a concern,Not a concern,Minor concern,Not a concern,Yes,2024
11430,0.9496,No,,,,,,,,No,No,No,No,No,No,No,Yes,More than your income,,High school graduate (high school diploma or the equivalent GED),54,45-54,"White, Non-Hispanic",Male,"$25,000 to $49,999",Not working,Never married,2,0,,,Somewhat worse off,Not confident,,No,,No,,Yes,No,No,,,,,,,,No,2024
11431,1.12,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,More than your income,,High school graduate (high school diploma or the equivalent GED),23,18-24,"White, Non-Hispanic",Male,"$10,000 to $24,999",Working part-time,Never married,1,0,Very poor,,Somewhat worse off,Not confident,Most or all of the time,No,,No,,Yes,No,Yes,,,,,,,,No,2024
11432,0.9568,No,,,,,,,,No,No,Yes,No,No,No,No,No,The same as your income,,Bachelor's degree or higher,42,35-44,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Now married,9,7,,No,Somewhat worse off,Not confident,Most or all of the time,No,5 or more,No,No,Yes,Yes,Yes,Not a concern,Major concern,Minor concern,Minor concern,Major concern,Major concern,Minor concern,Yes,2024
11433,1.0835,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Some college or Associate's degree,53,45-54,"Black, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,2,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,No,Yes,No,Minor concern,Minor concern,Minor concern,Minor concern,Not a concern,Minor concern,Not a concern,Yes,2024
11434,1.3594,No,,,,,,,,Yes,Yes,No,No,No,No,No,No,Less than your income,,High school graduate (high school diploma or the equivalent GED),40,35-44,"White, Non-Hispanic",Male,"$50,000 to $74,999",Working full-time,Never married,1,0,,,Somewhat worse off,Very confident,,No,,No,,,,,Not a concern,Major concern,Major concern,Not a concern,Not a concern,Not a concern,Not a concern,Yes,2024
11435,1.5988,No,,,,,,,,No,No,Yes,No,No,No,No,No,More than your income,,High school graduate (high school diploma or the equivalent GED),19,18-24,"White, Non-Hispanic",Male,"$50,000 to $74,999",Not working,Never married,3,0,Good,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,Yes,No,No,Not a concern,Minor concern,Not a concern,Not a concern,Not a concern,Not a concern,Not a concern,Yes,2024
11436,0.6728,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,40,35-44,"White, Non-Hispanic",Male,"$50,000 to $74,999",Working full-time,Divorced,1,0,,No,About the same,Very confident,Most or all of the time,Yes,,No,,No,No,No,Not a concern,Major concern,Minor concern,Minor concern,Minor concern,Major concern,Major concern,Yes,2024
11437,0.8721,No,,,,,,,,No,No,No,No,No,No,No,Yes,More than your income,,Some college or Associate's degree,36,35-44,"White, Non-Hispanic",Female,"$25,000 to $49,999",Working part-time,Now married,4,2,,,Somewhat worse off,Somewhat confident,,Yes,2,Yes,No,No,No,No,Major concern,Major concern,Minor concern,Minor concern,Minor concern,Major concern,Not a concern,No,2024
11438,0.9912,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,,Some college or Associate's degree,53,45-54,"White, Non-Hispanic",Female,"$100,000 to $149,999",Working full-time,Widowed,1,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,No,No,No,Minor concern,Major concern,Major concern,Major concern,Major concern,Major concern,Not a concern,Yes,2024
11439,1.0566,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,27,25-34,"White, Non-Hispanic",Male,"$150,000 or more",Working full-time,Never married,2,0,,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,No,,,,,,,,,,,,Yes,2024
